Length,Material,Vel_Liv,Vel_Pes,Carriles,Tipo,Nombre,Start,,End,
7.084712,Pavimento,109,79,,Ruta,RP 13,-63.472027,-29.378822,-63.531914,-29.406971
2.374989,SIN DATO,,,,Ruta,RP 13,-63.448528,-29.384426,-63.472027,-29.378822
2.628372,SIN DATO,,,,Ruta,RP 13,-63.425167,-29.377596,-63.448528,-29.384426
4.898487,SIN DATO,,,,Ruta,RP 13,-63.377491,-29.364586,-63.425167,-29.377596
38.428974,Pavimento,99,70,1,Ruta,RN 75,-66.836013,-29.438571,-67.074500,-29.249117
5.261898,Pavimento,112,80,1,AutovIa,RN 38,-66.836013,-29.438571,-66.812718,-29.396179
84.494621,Pavimento,109,79,1,Ruta,RN 75,-67.074500,-29.249117,-66.810432,-28.560774
18.584381,Pavimento,70,48,1,Ruta,RN 73,-67.074500,-29.249117,-67.145546,-29.274767
40.738825,Pavimento,109,79,1,Ruta,RN 60,-66.810432,-28.560774,-67.049590,-28.314890
31.14116,Pavimento,109,79,1,Ruta,RN 38,-66.812718,-29.396179,-66.650560,-29.158665
108.08945,Pavimento,109,79,1,Ruta,RP 5,-66.812718,-29.396179,-65.773914,-29.220718
26.518848,Pavimento,99,70,2,Ruta,RP 9,-66.650560,-29.158665,-66.630852,-28.954157
51.369951,Pavimento,109,79,1,Ruta,RN 38,-66.650560,-29.158665,-66.248750,-28.868697
48.418769,Pavimento,99,70,1,Ruta,RP 9,-66.630852,-28.954157,-66.799300,-28.565618
5.001991,Pavimento,109,79,1,Ruta,RN 40,-67.049590,-28.314890,-67.089712,-28.289453
1.495715,Pavimento,109,79,,Ruta,RN 60,-66.799300,-28.565618,-66.810432,-28.560774
36.918494,Pavimento,70,48,1,Ruta,RP 10,-66.544614,-28.645976,-66.630852,-28.954157
28.020569,Pavimento,109,79,1,Ruta,RN 60,-66.544614,-28.645976,-66.799300,-28.565618
45.587773,Pavimento,70,48,1,Ruta,RN 60,-66.248750,-28.868697,-66.396302,-28.677153
68.945677,Pavimento,109,79,1,Ruta,RN 38,-66.248750,-28.868697,-65.773776,-28.467799
0.632905,Pavimento,109,79,,Ruta,RN 60,-65.773914,-29.220718,-65.776617,-29.215524
16.186336,Pavimento,109,79,1,Ruta,RN 60,-66.396302,-28.677153,-66.544614,-28.645976
132.378824,Pavimento,70,48,1,Ruta,RP 46,-66.396302,-28.677153,-66.319550,-27.581100
84.139785,Pavimento,109,79,1,Ruta,RN 40,-67.089712,-28.289453,-67.029993,-27.649342
313.857508,Pavimento,70,48,1,Ruta,RN 60,-67.089712,-28.289453,-68.299125,-26.873682
51.077011,Pavimento,70,48,1,Ruta,RN 40,-67.029993,-27.649342,-66.874963,-27.274159
2.84488,Pavimento,109,79,,Ruta,RN 152,-67.175446,-38.194462,-67.187541,-38.214562
4.658008,Pavimento,109,79,,Ruta,RN 152,-67.146745,-38.159218,-67.175446,-38.194462
4.415594,Pavimento,70,48,1,Ruta,RP 333,-70.587685,-37.281754,-70.624107,-37.256046
8.320455,Pavimento,70,48,1,Ruta,RP 6,-70.501060,-37.257301,-70.587685,-37.281754
8.73215,Pavimento,70,48,1,Ruta,RP 43,-70.501060,-37.257301,-70.413811,-37.259922
1.309405,Pavimento,70,48,1,Ruta,RP 43,-70.413811,-37.259922,-70.400909,-37.265530
3.6012,Pavimento,70,48,1,Ruta,RP 43,-70.400909,-37.265530,-70.371284,-37.287373
14.084981,Pavimento,70,48,1,Ruta,RP 43,-70.371284,-37.287373,-70.282867,-37.369186
2.261481,Pavimento,70,48,1,Ruta,RP 43,-70.282867,-37.369186,-70.263686,-37.380130
187.395958,Pavimento,70,48,1,Ruta,RN 40,-70.263686,-37.380130,-69.648481,-36.479738
3.184969,Ripio,28,19,,Ruta,RN 40,-69.648481,-36.479738,-69.655552,-36.454842
74.677382,Pavimento,99,70,1,Ruta,RN 145,-69.807886,-35.862924,-70.394259,-35.982425
26.215851,Pavimento,70,48,1,Ruta,RN 40,-69.807886,-35.862924,-69.598045,-35.749073
64.503256,Pavimento,70,48,,Ruta,RN 40,-69.682186,-36.364855,-69.807886,-35.862924
7.342612,Pavimento,70,48,,Ruta,RN 40,-69.655552,-36.454842,-69.665164,-36.409862
5.698274,Ripio,28,19,,Ruta,RN 40,-69.665164,-36.409862,-69.682186,-36.364855
0.880158,Ripio,28,19,,Ruta,RN 40,-69.598045,-35.749073,-69.588433,-35.748540
37.727878,Pavimento,70,48,,Ruta,RN 40,-69.588433,-35.748540,-69.585428,-35.474506
49.530571,Pavimento,109,79,1,Ruta,RN 40,-69.585428,-35.474506,-69.582545,-35.080807
157.696293,Ripio,49,35,,Ruta,RN 40,-69.582545,-35.080807,-69.078953,-33.950782
40.184147,Ripio,49,35,,Ruta,RN 188,-69.189721,-35.406908,-69.585428,-35.474506
0.443397,Pavimento,99,70,,Ruta,RN 40,-69.078953,-33.950782,-69.078007,-33.946959
157.776824,Pavimento,109,79,1,Ruta,RN 151,-67.748901,-37.660454,-67.081455,-36.381157
20.88979,Pavimento,109,79,1,Ruta,RN 143,-67.081455,-36.381157,-66.924539,-36.243194
36.603052,Tierra,45,31,,Ruta,RN 188,-68.827924,-35.395820,-69.189721,-35.406908
137.27587,Pavimento,109,79,1,Ruta,RN 144,-68.330797,-34.616292,-69.582545,-35.080807
4.363149,Pavimento,109,79,1,Ruta,RN 143,-68.330797,-34.616292,-68.374570,-34.601024
33.690191,Ripio,49,35,,Ruta,RN 188,-68.483613,-35.315325,-68.827924,-35.395820
12.780713,Tierra,45,31,,Ruta,RN 188,-68.360604,-35.328665,-68.483613,-35.315325
105.414599,Pavimento,109,79,1,Ruta,RN 143,-68.374570,-34.601024,-69.078007,-33.946959
11.41,Pavimento,60,45,,Avenida,RN 143,-68.242340,-34.675262,-68.330797,-34.616292
23.539591,Pavimento,109,79,1,Ruta,RP 160,-68.242340,-34.675262,-68.002211,-34.641669
97.299832,Pavimento,109,79,1,Ruta,RN 40,-69.078007,-33.946959,-68.879775,-33.102167
