LENGTH,DATA,RUTA,JURISDIC,ETIQUETA_R,PROVINCIA,MATERIAL,PEAJE,CARRILES,JERARQUIA,TOPOGRAFIA,VEL_LIV,VEL_PES
134.66,"1703","40",RN,RN 40,SAN JUAN,Pavimento,"0","1",Ruta,L,"109","79"
59.21,"973","150",RN,RN 150,SAN JUAN,Pavimento,"0","1",Ruta,O,"99","70"
14.67,"146","150",RN,RN 150,SAN JUAN,Pavimento,"0","1",Ruta,O,"99","70"
19.80,"875","40",RN,RN 40,SAN JUAN,Pavimento,"0","1",Ruta,O,"99","70"
16.42,"507","40",RN,RN 40,SAN JUAN,Pavimento,"0",,Ruta,O,"99","70"
120.81,"1032","40",RN,RN 40,LA RIOJA,Pavimento,"0","1",Ruta,L,"109","79"
168.91,"578","510",RP,RP 510,SAN JUAN,Pavimento,"0","1",Ruta,O,"99","70"
97.36,"972","150",RN,RN 150,SAN JUAN,Pavimento,"0","1",Ruta,O,"99","70"
3.82,"147","150",RN,RN 150,SAN JUAN,Pavimento,"0","1",Ruta,L,"109","79"
112.96,"662","76",RN,RN 76,LA RIOJA,Pavimento,"0","1",Ruta,L,"109","79"
84.14,"148","150",RN,RN 150,LA RIOJA,Pavimento,"0","1",Ruta,O,"99","70"
112.81,"654","74",RN,RN 74,LA RIOJA,Pavimento,"0","1",Ruta,L,"109","79"
258.84,"942","76",RN,RN 76,LA RIOJA,Pavimento,"0","1",Ruta,M,"70","48"
91.27,"508","40",RN,RN 40,LA RIOJA,Pavimento,"0","1",Ruta,M,"70","48"
14.94,"509","40",RN,RN 40,LA RIOJA,Pavimento,"0","1",AutovIa,L,"112","80"
24.91,"968","73",RN,RN 73,LA RIOJA,Pavimento,"0","1",Ruta,L,"109","79"
22.10,"510","40",RN,RN 40,LA RIOJA,Pavimento,"0","1",Ruta,O,"99","70"
18.58,"970","73",RN,RN 73,LA RIOJA,Pavimento,"0","1",Ruta,M,"70","48"
81.20,"941","78",RN,RN 78,LA RIOJA,Pavimento,"0","1",Ruta,M,"70","48"
105.03,"1051","40",RN,RN 40,LA RIOJA,Pavimento,"0","1",Ruta,L,"109","79"
313.86,"940","60",RN,RN 60,CATAMARCA,Pavimento,"0","1",Ruta,M,"70","48"
57.94,"1485","43",RP,RP 43,CATAMARCA,SIN DATO,"0",,Ruta,M,,
80.49,"957",24CA,RN,RN 24CA,TIERRA DEL FUEGO,Ripio,"0",,Ruta,O,"49","35"
126.15,"985","281",RN,RN 281,SANTA CRUZ,Pavimento,"0","1",Ruta,L,"109","79"
378.46,"340","3",RN,RN 3,CHUBUT,Pavimento,"0","1",Ruta,L,"109","79"
1.77,"1069","4",RP,RP 4,CHUBUT,SIN DATO,"0",,Ruta,O,,
8.72,"1067","4",RP,RP 4,CHUBUT,SIN DATO,"0",,Ruta,O,,
0.07,"1068","4",RP,RP 4,CHUBUT,SIN DATO,"0",,Ruta,O,,
9.71,"1071","4",RP,RP 4,CHUBUT,Ripio,"0",,Ruta,O,"49","35"
4.15,"1070","4",RP,RP 4,CHUBUT,Ripio,"0",,Ruta,O,"49","35"
13.28,"1065","4",RP,RP 4,CHUBUT,SIN DATO,"0",,Ruta,O,,
1.63,"1066","4",RP,RP 4,CHUBUT,SIN DATO,"0",,Ruta,O,,
9.07,"1156","4",RP,RP 4,CHUBUT,SIN DATO,"0",,Ruta,O,,
6.33,"1155","4",RP,RP 4,CHUBUT,Ripio,"0",,Ruta,O,"49","35"
4.56,"1154","4",RP,RP 4,CHUBUT,Ripio,"0",,Ruta,O,"49","35"
19.63,"1152","4",RP,RP 4,CHUBUT,Ripio,"0",,Ruta,O,"49","35"
13.55,"1060","4",RP,RP 4,CHUBUT,Ripio,"0",,Ruta,O,"49","35"
1.67,"1153","4",RP,RP 4,CHUBUT,Ripio,"0",,Ruta,O,"49","35"
6.58,"1151","4",RP,RP 4,CHUBUT,Ripio,"0",,Ruta,O,"49","35"
4.20,"1150","4",RP,RP 4,CHUBUT,Ripio,"0",,Ruta,O,"49","35"
8.04,"928","3",RN,RN 3,CHUBUT,Pavimento,"0","1",Ruta,L,"109","79"
0.25,"307","25",RN,RN 25,CHUBUT,Pavimento,"0",,Avenida,L,"60","45"
0.03,"1008","3",RN,RN 3,CHUBUT,Pavimento,"0",,Ruta,L,"109","79"
13.44,"990","25",RN,RN 25,CHUBUT,Pavimento,"0","1",Ruta,L,"109","79"
20.66,"1149","4",RP,RP 4,CHUBUT,Ripio,"0",,Ruta,O,"49","35"
45.86,"1059","4",RP,RP 4,CHUBUT,Ripio,"0",,Ruta,O,"49","35"
56.86,"1691","3",RN,RN 3,CHUBUT,Pavimento,"0","1",Ruta,L,"109","79"
7.38,"1148","4",RP,RP 4,CHUBUT,Ripio,"0",,Ruta,O,"49","35"
267.70,"297","23",RN,RN 23,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
222.13,"342","3",RN,RN 3,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
33.93,"343","3",RN,RN 3,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
92.29,"228","2",RP,RP 2,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
100.15,"1000","22",RN,RN 22,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
81.87,"275","22",RN,RN 22,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
93.61,"999","152",RN,RN 152,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
116.17,"981","232",RN,RN 232,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
93.88,"312","250",RN,RN 250,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
111.38,"277","22",RN,RN 22,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
127.86,"982","152",RN,RN 152,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
1.26,"313","251",RN,RN 251,RIO NEGRO,Pavimento,"0",,Ruta,L,"109","79"
83.75,"314","251",RN,RN 251,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
80.76,"310","250",RN,RN 250,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
129.65,"345","3",RN,RN 3,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
112.39,"311","250",RN,RN 250,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
43.91,"346","3",RN,RN 3,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
1.42,"873","3",RN,RN 3,RIO NEGRO,Pavimento,"0",,Ruta,L,"109","79"
8.12,"344","3",RN,RN 3,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
118.51,"315","251",RN,RN 251,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
28.76,"276","22",RN,RN 22,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
3.26,"874","22",RN,RN 22,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
136.57,"153","154",RN,RN 154,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
135.10,"272","22",RN,RN 22,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
88.42,"440","35",RN,RN 35,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
190.23,"997","20",RP,RP 20,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
167.76,"980","143",RN,RN 143,LA PAMPA,Tierra,"0",,Ruta,L,"59","43"
22.20,"1768","143",RN,RN 143,LA PAMPA,Pavimento,"0",,Ruta,L,"109","79"
20.89,"128","143",RN,RN 143,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
0.24,"130","143",RN,RN 143,LA PAMPA,Pavimento,"0",,Ruta,L,"109","79"
11.99,"10","4",RP,RP 4,LA PAMPA,Pavimento,"0",,Ruta,L,"109","79"
1.02,"253","20",RP,RP 20,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
55.00,"127","143",RN,RN 143,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
0.07,"998","143",RN,RN 143,LA PAMPA,Pavimento,"0",,Ruta,L,"109","79"
231.83,"9","10",RP,RP 10,LA PAMPA,Pavimento,"0",,Ruta,L,"109","79"
225.75,"196","188",RN,RN 188,SAN LUIS,Pavimento,"0","1",Ruta,L,"109","79"
38.89,"139","148",RN,RN 148,SAN LUIS,Pavimento,"1",,AutovIa,L,"112","80"
129.39,"140","148",RN,RN 148,SAN LUIS,Pavimento,"1",,AutovIa,L,"112","80"
1.44,"685","8",RN,RN 8,SAN LUIS,Pavimento,"0",,Calle,L,"40","30"
1.52,"305","24",RP,RP 24,SAN LUIS,Pavimento,"0","2",Avenida,L,"60","45"
2.77,"684","8",RN,RN 8,SAN LUIS,Pavimento,"0","1",Calle,L,"40","30"
1.93,"648","7",RN,RN 7,SAN LUIS,Pavimento,"0","2",AutovIa,L,"112","80"
42.30,"848","152",RN,RN 152,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
29.45,"152","152",RN,RN 152,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
13.48,"444","35",RN,RN 35,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
